#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.217007860540488373e+01
2.501057906675441256e-01	7.000000000000000000e+00	1.161165107045354006e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.332508642229871576e+01
5.783034965714177744e-01	1.200000000000000000e+01	1.547667961568314432e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.754142064611767182e+01
7.628626294338345382e-01	1.700000000000000000e+01	1.936059650036709101e+01
8.221720589961076797e-01	1.900000000000000000e+01	2.091453876344636598e+01
8.666478567836676250e-01	2.100000000000000000e+01	2.223767582303550938e+01
9.000000000000000222e-01	2.200000000000000000e+01	2.337526911860718926e+01
9.250105790667544348e-01	2.200000000000000000e+01	2.436169171751390650e+01
9.437658674809651371e-01	2.200000000000000000e+01	2.521751308753934850e+01
9.578303496571417552e-01	2.200000000000000000e+01	2.595363194178617761e+01
9.683772233983162225e-01	2.100000000000000000e+01	2.657594089301993989e+01
9.762862629433834982e-01	2.100000000000000000e+01	2.708809669181993840e+01
9.822172058996108124e-01	1.900000000000000000e+01	2.749321523515329346e+01
9.866647856783667958e-01	1.800000000000000000e+01	2.779439444544084736e+01
9.899999999999999911e-01	1.700000000000000000e+01	2.799542637782455046e+01
9.925010579066754213e-01	1.600000000000000000e+01	2.810032737604139896e+01
9.943765867480964804e-01	1.400000000000000000e+01	2.811360941187435714e+01
9.957830349657141866e-01	1.300000000000000000e+01	2.803946421041225534e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.788107362057447247e+01
9.976286262943383498e-01	1.000000000000000000e+01	2.764024967267772581e+01
9.982217205899610590e-01	9.000000000000000000e+00	2.731684063901994008e+01
9.986664785678366352e-01	8.000000000000000000e+00	2.690880122160888988e+01
9.989999999999999991e-01	7.000000000000000000e+00	2.641262495047605086e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.582333973780361092e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.513509328612094862e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.434110911128813370e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.343348480305101589e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.240270373651338076e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.123667262539348854e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.991880247629618950e+01
9.999000000000000110e-01	3.000000000000000000e+00	1.842569496711334409e+01
