#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	7.000000000000000000e+00	1.399553585795109001e+01
2.501057906675441256e-01	7.000000000000000000e+00	1.247363593427470718e+01
4.376586748096509272e-01	9.000000000000000000e+00	1.355222817504431276e+01
5.783034965714177744e-01	1.100000000000000000e+01	1.535616237673554352e+01
6.837722339831620033e-01	1.400000000000000000e+01	1.720234248783754438e+01
7.628626294338345382e-01	1.600000000000000000e+01	1.889454927294019271e+01
8.221720589961076797e-01	1.800000000000000000e+01	2.039901483804647597e+01
8.666478567836676250e-01	2.000000000000000000e+01	2.172824386483663162e+01
9.000000000000000222e-01	2.100000000000000000e+01	2.290795790030028556e+01
9.250105790667544348e-01	2.100000000000000000e+01	2.396233091089539613e+01
9.437658674809651371e-01	2.100000000000000000e+01	2.490693284243272743e+01
9.578303496571417552e-01	2.100000000000000000e+01	2.574828369556434637e+01
9.683772233983162225e-01	2.100000000000000000e+01	2.648530430249006784e+01
9.762862629433834982e-01	2.000000000000000000e+01	2.711182949030186862e+01
9.822172058996108124e-01	1.900000000000000000e+01	2.761952367196716907e+01
9.866647856783667958e-01	1.800000000000000000e+01	2.800032926646038334e+01
9.899999999999999911e-01	1.700000000000000000e+01	2.824937113551651180e+01
9.925010579066754213e-01	1.500000000000000000e+01	2.836646775016185273e+01
9.943765867480964804e-01	1.400000000000000000e+01	2.835710929027706939e+01
9.957830349657141866e-01	1.300000000000000000e+01	2.823136593790707849e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.800188450810382079e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.768161213220398764e+01
9.982217205899610590e-01	9.000000000000000000e+00	2.728146900293718602e+01
9.986664785678366352e-01	8.000000000000000000e+00	2.680911579601341188e+01
9.989999999999999991e-01	7.000000000000000000e+00	2.626843556152591930e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.565952046303863554e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.497893395980021580e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.421964585224084487e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.337050538277323852e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.241512800118499626e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.132946140294254889e+01
9.998666478567836968e-01	3.000000000000000000e+00	2.007828828825530110e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.860895352918862855e+01
