#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.197551656510922591e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.275065850468054940e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.349155288191404978e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.420267332342832844e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.489892516293249969e+01
5.130324748341368313e-01	1.200000000000000000e+01	1.558910492811254933e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.627515526496392440e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.695630544784807725e+01
6.837722339831620033e-01	1.600000000000000000e+01	1.763189146291692211e+01
7.261580365735638143e-01	1.700000000000000000e+01	1.830103809001792570e+01
7.628626294338345382e-01	1.800000000000000000e+01	1.896194549276879115e+01
7.946474973542854148e-01	2.000000000000000000e+01	1.961159283275618392e+01
8.221720589961076797e-01	2.100000000000000000e+01	2.024612965046682334e+01
8.460073473940508126e-01	2.300000000000000000e+01	2.086183911171858085e+01
8.666478567836676250e-01	2.400000000000000000e+01	2.145558021013065542e+01
8.845218015310541970e-01	2.500000000000000000e+01	2.202550244507999722e+01
9.000000000000000222e-01	2.600000000000000000e+01	2.257056451440033129e+01
9.134035676639934431e-01	2.700000000000000000e+01	2.309116697837876586e+01
9.250105790667544348e-01	2.800000000000000000e+01	2.358821426980256675e+01
9.350618368423788684e-01	2.900000000000000000e+01	2.406316550865171422e+01
9.437658674809651371e-01	3.000000000000000000e+01	2.451768698566194615e+01
9.513032474834136609e-01	3.100000000000000000e+01	2.495323976324218407e+01
9.578303496571417552e-01	3.200000000000000000e+01	2.537115104061978244e+01
9.634825872745161890e-01	3.200000000000000000e+01	2.577220849060218555e+01
9.683772233983162225e-01	3.300000000000000000e+01	2.615708783948804239e+01
9.726158036573563370e-01	3.300000000000000000e+01	2.652592814918717323e+01
9.762862629433834982e-01	3.300000000000000000e+01	2.687872560075091144e+01
9.794647497354285193e-01	3.300000000000000000e+01	2.721519746856877475e+01
9.822172058996108124e-01	3.400000000000000000e+01	2.753478343442921528e+01
9.846007347394051257e-01	3.300000000000000000e+01	2.783671270402614084e+01
9.866647856783667958e-01	3.300000000000000000e+01	2.812011985774907430e+01
9.884521801531054308e-01	3.300000000000000000e+01	2.838382934825774129e+01
9.899999999999999911e-01	3.200000000000000000e+01	2.862668635099128167e+01
9.913403567663993110e-01	3.200000000000000000e+01	2.884704666017200481e+01
9.925010579066754213e-01	3.100000000000000000e+01	2.904352334865675900e+01
9.935061836842379313e-01	3.000000000000000000e+01	2.921420956598874241e+01
9.943765867480964804e-01	2.900000000000000000e+01	2.935747960140546198e+01
9.951303247483413994e-01	2.800000000000000000e+01	2.947163498170914053e+01
9.957830349657141866e-01	2.600000000000000000e+01	2.955503542954534169e+01
9.963482587274515856e-01	2.500000000000000000e+01	2.960656699684269455e+01
9.968377223398315889e-01	2.400000000000000000e+01	2.962505870582945988e+01
9.972615803657356448e-01	2.200000000000000000e+01	2.960995293892153768e+01
9.976286262943383498e-01	2.100000000000000000e+01	2.956109389716721836e+01
9.979464749735428297e-01	2.000000000000000000e+01	2.947855344273769518e+01
9.982217205899610590e-01	1.800000000000000000e+01	2.936307511378444701e+01
9.984600734739405015e-01	1.700000000000000000e+01	2.921542137363339364e+01
9.986664785678366352e-01	1.600000000000000000e+01	2.903677904780082741e+01
9.988452180153105653e-01	1.500000000000000000e+01	2.882861605159544638e+01
9.989999999999999991e-01	1.300000000000000000e+01	2.859226368195390577e+01
9.991340356766399422e-01	1.200000000000000000e+01	2.832937353961996507e+01
9.992501057906675310e-01	1.100000000000000000e+01	2.804134012539531184e+01
9.993506183684237598e-01	1.100000000000000000e+01	2.772937179416717868e+01
9.994376586748096036e-01	1.000000000000000000e+01	2.739458566918825966e+01
9.995130324748341399e-01	9.000000000000000000e+00	2.703767334552338042e+01
9.995783034965713965e-01	8.000000000000000000e+00	2.665898065549033902e+01
9.996348258727452141e-01	8.000000000000000000e+00	2.625847201902155703e+01
9.996837722339831922e-01	7.000000000000000000e+00	2.583590900356494302e+01
9.997261580365736089e-01	6.000000000000000000e+00	2.539086862561215696e+01
9.997628626294338128e-01	6.000000000000000000e+00	2.492291046755553907e+01
9.997946474973542497e-01	5.000000000000000000e+00	2.443230862183222385e+01
9.998221720589961503e-01	5.000000000000000000e+00	2.391962239632306719e+01
9.998460073473940390e-01	4.000000000000000000e+00	2.338644453513101951e+01
9.998666478567836968e-01	4.000000000000000000e+00	2.283490476579680006e+01
9.998845218015310898e-01	4.000000000000000000e+00	2.226624315323092418e+01
9.999000000000000110e-01	3.000000000000000000e+00	2.167878503079283803e+01
