lambda	number_discriminable	dynamic_range
0.0	6.0	11.632034741332799
0.3841517889339736	9.0	14.311177097246814
0.620730980926775	13.0	17.00544040642225
0.7664278530909877	17.0	19.042920134901838
0.8561550111712337	20.0	21.082478575193527
0.9114133209589917	21.0	22.931142803627953
0.9454440521883148	22.0	24.47736533337535
0.9664018171371622	21.0	25.77994172486969
0.9793086191888521	20.0	26.86631320895314
0.9872572501429686	18.0	27.696336164893154
0.9921524002964854	16.0	28.207376610208573
0.9951670697614282	14.0	28.357125492223048
0.9970236485583687	11.0	28.142103686356613
0.9981670192891675	10.0	27.599773472612608
0.9988711621083153	8.0	26.794127282741588
0.9993048072038224	6.0	25.78215662815427
0.9995718667601281	5.0	24.54918537784473
0.9997363349101269	4.0	22.978724918818394
0.9998376223260811	3.0	21.026493626956658
0.9999	2.0	18.798955626690326
