#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.171282253801763673e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.252555316817991127e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.331517790907817478e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.407835471865292298e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.481663696417021825e+01
5.130324748341368313e-01	1.100000000000000000e+01	1.553138752364955621e+01
5.783034965714177744e-01	1.200000000000000000e+01	1.622380232869286587e+01
6.348258727451623340e-01	1.300000000000000000e+01	1.689498487184016540e+01
6.837722339831620033e-01	1.400000000000000000e+01	1.754590445485288797e+01
7.261580365735638143e-01	1.500000000000000000e+01	1.817731946858570780e+01
7.628626294338345382e-01	1.600000000000000000e+01	1.878993541945717283e+01
7.946474973542854148e-01	1.700000000000000000e+01	1.938424775749120954e+01
8.221720589961076797e-01	1.700000000000000000e+01	1.996070873651189004e+01
8.460073473940508126e-01	1.800000000000000000e+01	2.051955554275917848e+01
8.666478567836676250e-01	1.800000000000000000e+01	2.106099198036554654e+01
8.845218015310541970e-01	1.900000000000000000e+01	2.158492687029348645e+01
9.000000000000000222e-01	1.900000000000000000e+01	2.209126019691073850e+01
9.134035676639934431e-01	2.000000000000000000e+01	2.257987901422188415e+01
9.250105790667544348e-01	2.000000000000000000e+01	2.305034560862402060e+01
9.350618368423788684e-01	2.000000000000000000e+01	2.350226390754126982e+01
9.437658674809651371e-01	2.000000000000000000e+01	2.393511615045498786e+01
9.513032474834136609e-01	2.000000000000000000e+01	2.434833358062687836e+01
9.578303496571417552e-01	2.000000000000000000e+01	2.474114207831769363e+01
9.634825872745161890e-01	1.900000000000000000e+01	2.511294288274989484e+01
9.683772233983162225e-01	1.900000000000000000e+01	2.546285454273305504e+01
9.726158036573563370e-01	1.900000000000000000e+01	2.579006767061500227e+01
9.762862629433834982e-01	1.800000000000000000e+01	2.609378203174846789e+01
9.794647497354285193e-01	1.800000000000000000e+01	2.637313973292714664e+01
9.822172058996108124e-01	1.700000000000000000e+01	2.662737827707253047e+01
9.846007347394051257e-01	1.700000000000000000e+01	2.685569804726936383e+01
9.866647856783667958e-01	1.600000000000000000e+01	2.705738314589398641e+01
9.884521801531054308e-01	1.500000000000000000e+01	2.723179053607946898e+01
9.899999999999999911e-01	1.500000000000000000e+01	2.737836573305665766e+01
9.913403567663993110e-01	1.400000000000000000e+01	2.749666910015212906e+01
9.925010579066754213e-01	1.400000000000000000e+01	2.758644358677526043e+01
9.935061836842379313e-01	1.300000000000000000e+01	2.764740148265336472e+01
9.943765867480964804e-01	1.300000000000000000e+01	2.767940670413540261e+01
9.951303247483413994e-01	1.200000000000000000e+01	2.768265669596522116e+01
9.957830349657141866e-01	1.100000000000000000e+01	2.765708480945459513e+01
9.963482587274515856e-01	1.100000000000000000e+01	2.760305815731854651e+01
9.968377223398315889e-01	1.000000000000000000e+01	2.752071162963004980e+01
9.972615803657356448e-01	1.000000000000000000e+01	2.741048223838777886e+01
9.976286262943383498e-01	9.000000000000000000e+00	2.727265012093262087e+01
9.979464749735428297e-01	9.000000000000000000e+00	2.710757384198512909e+01
9.982217205899610590e-01	8.000000000000000000e+00	2.691560166947056842e+01
9.984600734739405015e-01	8.000000000000000000e+00	2.669708741289514364e+01
9.986664785678366352e-01	7.000000000000000000e+00	2.645230785708979226e+01
9.988452180153105653e-01	7.000000000000000000e+00	2.618140209431980736e+01
9.989999999999999991e-01	7.000000000000000000e+00	2.588466509861954989e+01
9.991340356766399422e-01	6.000000000000000000e+00	2.556205132215767861e+01
9.992501057906675310e-01	6.000000000000000000e+00	2.521356179162612321e+01
9.993506183684237598e-01	5.000000000000000000e+00	2.483913648305849264e+01
9.994376586748096036e-01	5.000000000000000000e+00	2.443849222305988178e+01
9.995130324748341399e-01	5.000000000000000000e+00	2.401118623073148584e+01
9.995783034965713965e-01	4.000000000000000000e+00	2.355669525942523279e+01
9.996348258727452141e-01	4.000000000000000000e+00	2.307437501781410916e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.256333503330451862e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.202259709847578506e+01
9.997628626294338128e-01	3.000000000000000000e+00	2.145098374698129362e+01
9.997946474973542497e-01	3.000000000000000000e+00	2.084734336499120388e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.021027644667354650e+01
9.998460073473940390e-01	3.000000000000000000e+00	1.953855263921179386e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.883093411400916040e+01
9.998845218015310898e-01	2.000000000000000000e+00	1.808647342932736279e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.730441605451969167e+01
