#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	6.000000000000000000e+00	1.193155925724522959e+01
1.340356766399346533e-01	7.000000000000000000e+00	1.263187561182471086e+01
2.501057906675441256e-01	8.000000000000000000e+00	1.336687903851110093e+01
3.506183684237886844e-01	9.000000000000000000e+00	1.410684753204076713e+01
4.376586748096509272e-01	1.000000000000000000e+01	1.483247432851054270e+01
5.130324748341368313e-01	1.100000000000000000e+01	1.553960498426123138e+01
5.783034965714177744e-01	1.300000000000000000e+01	1.623333977533091144e+01
6.348258727451623340e-01	1.400000000000000000e+01	1.692247902977852192e+01
6.837722339831620033e-01	1.500000000000000000e+01	1.761311287054563479e+01
7.261580365735638143e-01	1.600000000000000000e+01	1.830361688519925067e+01
7.628626294338345382e-01	1.700000000000000000e+01	1.898339344171377263e+01
7.946474973542854148e-01	1.900000000000000000e+01	1.963593559329390814e+01
8.221720589961076797e-01	2.000000000000000000e+01	2.024641083536042174e+01
8.460073473940508126e-01	2.000000000000000000e+01	2.080781931080252889e+01
8.666478567836676250e-01	2.100000000000000000e+01	2.132301039038753032e+01
8.845218015310541970e-01	2.200000000000000000e+01	2.180167640575201204e+01
9.000000000000000222e-01	2.200000000000000000e+01	2.225518080384315311e+01
9.134035676639934431e-01	2.300000000000000000e+01	2.269291636533825951e+01
9.250105790667544348e-01	2.300000000000000000e+01	2.312109353974585702e+01
9.350618368423788684e-01	2.300000000000000000e+01	2.354259534214182992e+01
9.437658674809651371e-01	2.300000000000000000e+01	2.395753181078484317e+01
9.513032474834136609e-01	2.300000000000000000e+01	2.436442383414652824e+01
9.578303496571417552e-01	2.300000000000000000e+01	2.476045392067387141e+01
9.634825872745161890e-01	2.200000000000000000e+01	2.514271506083819929e+01
9.683772233983162225e-01	2.200000000000000000e+01	2.550786512776740622e+01
9.726158036573563370e-01	2.100000000000000000e+01	2.585313435322665754e+01
9.762862629433834982e-01	2.100000000000000000e+01	2.617603595859261034e+01
9.794647497354285193e-01	2.000000000000000000e+01	2.647470025040796671e+01
9.822172058996108124e-01	2.000000000000000000e+01	2.674774655113913013e+01
9.846007347394051257e-01	1.900000000000000000e+01	2.699428270518541240e+01
9.866647856783667958e-01	1.800000000000000000e+01	2.721379787449638599e+01
9.884521801531054308e-01	1.800000000000000000e+01	2.740604761095454123e+01
9.899999999999999911e-01	1.700000000000000000e+01	2.757093564891832216e+01
9.913403567663993110e-01	1.600000000000000000e+01	2.770851438746808171e+01
9.925010579066754213e-01	1.600000000000000000e+01	2.781882879910829587e+01
9.935061836842379313e-01	1.500000000000000000e+01	2.790179734876285522e+01
9.943765867480964804e-01	1.400000000000000000e+01	2.795742003492588523e+01
9.951303247483413994e-01	1.400000000000000000e+01	2.798546886182596438e+01
9.957830349657141866e-01	1.300000000000000000e+01	2.798570825310834209e+01
9.963482587274515856e-01	1.200000000000000000e+01	2.795785320379426153e+01
9.968377223398315889e-01	1.200000000000000000e+01	2.790149779261588137e+01
9.972615803657356448e-01	1.100000000000000000e+01	2.781626647606884717e+01
9.976286262943383498e-01	1.100000000000000000e+01	2.770172668227900914e+01
9.979464749735428297e-01	1.000000000000000000e+01	2.755753454757724796e+01
9.982217205899610590e-01	1.000000000000000000e+01	2.738321258452160123e+01
9.984600734739405015e-01	9.000000000000000000e+00	2.717847987208829608e+01
9.986664785678366352e-01	8.000000000000000000e+00	2.694318889379680826e+01
9.988452180153105653e-01	8.000000000000000000e+00	2.667727285063518394e+01
9.989999999999999991e-01	7.000000000000000000e+00	2.638086721499823284e+01
9.991340356766399422e-01	7.000000000000000000e+00	2.605456859561834193e+01
9.992501057906675310e-01	7.000000000000000000e+00	2.569903686329848824e+01
9.993506183684237598e-01	6.000000000000000000e+00	2.531537905093824037e+01
9.994376586748096036e-01	6.000000000000000000e+00	2.490508973435896678e+01
9.995130324748341399e-01	5.000000000000000000e+00	2.447001309722246987e+01
9.995783034965713965e-01	5.000000000000000000e+00	2.401197204597848156e+01
9.996348258727452141e-01	5.000000000000000000e+00	2.353317938199978698e+01
9.996837722339831922e-01	4.000000000000000000e+00	2.303542128220410845e+01
9.997261580365736089e-01	4.000000000000000000e+00	2.252045897099703353e+01
9.997628626294338128e-01	4.000000000000000000e+00	2.198962242319412042e+01
9.997946474973542497e-01	4.000000000000000000e+00	2.144361389130477846e+01
9.998221720589961503e-01	3.000000000000000000e+00	2.088271648023249938e+01
9.998460073473940390e-01	3.000000000000000000e+00	2.030627711961957971e+01
9.998666478567836968e-01	3.000000000000000000e+00	1.971305010450728190e+01
9.998845218015310898e-01	3.000000000000000000e+00	1.910082950755290199e+01
9.999000000000000110e-01	2.000000000000000000e+00	1.846671463859214413e+01
