#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.185617256912820849e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.287055093799115113e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.378174331034980682e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.458856288348905572e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.532321292913028188e+01	1.000000000000000000e+01
5.130324748341368313e-01	1.602675911042238255e+01	1.100000000000000000e+01
5.783034965714177744e-01	1.672941708937866778e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.744460141287119015e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.817061705515584435e+01	1.500000000000000000e+01
7.261580365735638143e-01	1.889453331022825111e+01	1.600000000000000000e+01
7.628626294338345382e-01	1.959816815336743900e+01	1.700000000000000000e+01
7.946474973542854148e-01	2.026433764004961091e+01	1.800000000000000000e+01
8.221720589961076797e-01	2.088173484433778526e+01	1.900000000000000000e+01
8.460073473940508126e-01	2.144647130743729591e+01	2.000000000000000000e+01
8.666478567836676250e-01	2.196134130485830838e+01	2.100000000000000000e+01
8.845218015310541970e-01	2.243412111848911294e+01	2.200000000000000000e+01
9.000000000000000222e-01	2.287472520910395701e+01	2.300000000000000000e+01
9.134035676639934431e-01	2.329271703014210004e+01	2.300000000000000000e+01
9.250105790667544348e-01	2.369562429434750328e+01	2.400000000000000000e+01
9.350618368423788684e-01	2.408800873498691786e+01	2.400000000000000000e+01
9.437658674809651371e-01	2.447211349897863641e+01	2.400000000000000000e+01
9.513032474834136609e-01	2.484815014819471912e+01	2.400000000000000000e+01
9.578303496571417552e-01	2.521462254108660517e+01	2.400000000000000000e+01
9.634825872745161890e-01	2.556953608428049307e+01	2.300000000000000000e+01
9.683772233983162225e-01	2.591009571039910497e+01	2.300000000000000000e+01
9.726158036573563370e-01	2.623350581772203327e+01	2.200000000000000000e+01
9.762862629433834982e-01	2.653720404458523774e+01	2.200000000000000000e+01
9.794647497354285193e-01	2.681870798135529199e+01	2.100000000000000000e+01
9.822172058996108124e-01	2.707585039363237200e+01	2.000000000000000000e+01
9.846007347394051257e-01	2.730685076759305829e+01	1.900000000000000000e+01
9.866647856783667958e-01	2.751023802234831450e+01	1.900000000000000000e+01
9.884521801531054308e-01	2.768498589490290485e+01	1.800000000000000000e+01
9.899999999999999911e-01	2.783018053854920737e+01	1.700000000000000000e+01
9.913403567663993110e-01	2.794528854813737340e+01	1.700000000000000000e+01
9.925010579066754213e-01	2.803022475786373846e+01	1.600000000000000000e+01
9.935061836842379313e-01	2.808482023214561707e+01	1.500000000000000000e+01
9.943765867480964804e-01	2.810948786692440393e+01	1.400000000000000000e+01
9.951303247483413994e-01	2.810462476898064921e+01	1.400000000000000000e+01
9.957830349657141866e-01	2.807085978338631094e+01	1.300000000000000000e+01
9.963482587274515856e-01	2.800908585853211719e+01	1.200000000000000000e+01
9.968377223398315889e-01	2.792010350879525760e+01	1.200000000000000000e+01
9.972615803657356448e-01	2.780478412277613032e+01	1.100000000000000000e+01
9.976286262943383498e-01	2.766407640288887393e+01	1.100000000000000000e+01
9.979464749735428297e-01	2.749873525451047129e+01	1.000000000000000000e+01
9.982217205899610590e-01	2.730935466282999968e+01	9.000000000000000000e+00
9.984600734739405015e-01	2.709632447805248745e+01	9.000000000000000000e+00
9.986664785678366352e-01	2.685967445012872190e+01	8.000000000000000000e+00
9.988452180153105653e-01	2.659902743224613175e+01	8.000000000000000000e+00
9.989999999999999991e-01	2.631386159782188017e+01	7.000000000000000000e+00
9.991340356766399422e-01	2.600297240891682904e+01	7.000000000000000000e+00
9.992501057906675310e-01	2.566520222446623478e+01	6.000000000000000000e+00
9.993506183684237598e-01	2.529888922242802707e+01	6.000000000000000000e+00
9.994376586748096036e-01	2.490249322835144596e+01	6.000000000000000000e+00
9.995130324748341399e-01	2.447458550149163869e+01	5.000000000000000000e+00
9.995783034965713965e-01	2.401435956921818615e+01	5.000000000000000000e+00
9.996348258727452141e-01	2.352158495014727890e+01	5.000000000000000000e+00
9.996837722339831922e-01	2.299733843790338739e+01	4.000000000000000000e+00
9.997261580365736089e-01	2.244366636986238461e+01	4.000000000000000000e+00
9.997628626294338128e-01	2.186324433399567724e+01	4.000000000000000000e+00
9.997946474973542497e-01	2.125779877354050384e+01	3.000000000000000000e+00
9.998221720589961503e-01	2.062564947799898363e+01	3.000000000000000000e+00
9.998460073473940390e-01	1.995803052227151397e+01	3.000000000000000000e+00
9.998666478567836968e-01	1.923599266670347419e+01	3.000000000000000000e+00
9.998845218015310898e-01	1.842819623795961803e+01	2.000000000000000000e+00
9.999000000000000110e-01	1.749286083518753543e+01	2.000000000000000000e+00
