#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.171282676575441783e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.252555732286983314e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.331518199669569924e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.407835876195912661e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.481664096886209236e+01	1.000000000000000000e+01
5.130324748341368313e-01	1.553139150108426492e+01	1.100000000000000000e+01
5.783034965714177744e-01	1.622380628941595049e+01	1.200000000000000000e+01
6.348258727451623340e-01	1.689498878364922874e+01	1.300000000000000000e+01
6.837722339831620033e-01	1.754590835686052586e+01	1.400000000000000000e+01
7.261580365735638143e-01	1.817732336747482691e+01	1.500000000000000000e+01
7.628626294338345382e-01	1.878993932762044494e+01	1.600000000000000000e+01
7.946474973542854148e-01	1.938425167327653398e+01	1.700000000000000000e+01
8.221720589961076797e-01	1.996071267535680605e+01	1.700000000000000000e+01
8.460073473940508126e-01	2.051955946802272734e+01	1.800000000000000000e+01
8.666478567836676250e-01	2.106099593642089474e+01	1.800000000000000000e+01
8.845218015310541970e-01	2.158493086487985124e+01	1.900000000000000000e+01
9.000000000000000222e-01	2.209126422765653075e+01	1.900000000000000000e+01
9.134035676639934431e-01	2.257988305286554009e+01	2.000000000000000000e+01
9.250105790667544348e-01	2.305034970595173505e+01	2.000000000000000000e+01
9.350618368423788684e-01	2.350226803348729376e+01	2.000000000000000000e+01
9.437658674809651371e-01	2.393512032951711532e+01	2.000000000000000000e+01
9.513032474834136609e-01	2.434833780574462736e+01	2.000000000000000000e+01
9.578303496571417552e-01	2.474114634393437129e+01	2.000000000000000000e+01
9.634825872745161890e-01	2.511294722721090267e+01	1.900000000000000000e+01
9.683772233983162225e-01	2.546285894499993319e+01	1.900000000000000000e+01
9.726158036573563370e-01	2.579007213270723753e+01	1.900000000000000000e+01
9.762862629433834982e-01	2.609378657479190267e+01	1.800000000000000000e+01
9.794647497354285193e-01	2.637314434217246628e+01	1.800000000000000000e+01
9.822172058996108124e-01	2.662738297268968068e+01	1.700000000000000000e+01
9.846007347394051257e-01	2.685570281661111380e+01	1.700000000000000000e+01
9.866647856783667958e-01	2.705738798802626022e+01	1.600000000000000000e+01
9.884521801531054308e-01	2.723179545094023979e+01	1.500000000000000000e+01
9.899999999999999911e-01	2.737837071780233344e+01	1.500000000000000000e+01
9.913403567663993110e-01	2.749667414417957190e+01	1.400000000000000000e+01
9.925010579066754213e-01	2.758644867169425652e+01	1.400000000000000000e+01
9.935061836842379313e-01	2.764740661040129410e+01	1.300000000000000000e+01
9.943765867480964804e-01	2.767941186109969109e+01	1.300000000000000000e+01
9.951303247483413994e-01	2.768266186544354213e+01	1.200000000000000000e+01
9.957830349657141866e-01	2.765709002972855757e+01	1.100000000000000000e+01
9.963482587274515856e-01	2.760306334959242491e+01	1.100000000000000000e+01
9.968377223398315889e-01	2.752071682514383255e+01	1.000000000000000000e+01
9.972615803657356448e-01	2.741048746317566653e+01	1.000000000000000000e+01
9.976286262943383498e-01	2.727265532126425285e+01	9.000000000000000000e+00
9.979464749735428297e-01	2.710757903060095941e+01	9.000000000000000000e+00
9.982217205899610590e-01	2.691560685375909756e+01	8.000000000000000000e+00
9.984600734739405015e-01	2.669709259523246203e+01	8.000000000000000000e+00
9.986664785678366352e-01	2.645231303680390411e+01	7.000000000000000000e+00
9.988452180153105653e-01	2.618140729745912409e+01	7.000000000000000000e+00
9.989999999999999991e-01	2.588467028610842391e+01	7.000000000000000000e+00
9.991340356766399422e-01	2.556205651691024627e+01	6.000000000000000000e+00
9.992501057906675310e-01	2.521356703421409406e+01	6.000000000000000000e+00
9.993506183684237598e-01	2.483914172923765307e+01	5.000000000000000000e+00
9.994376586748096036e-01	2.443849745217593750e+01	5.000000000000000000e+00
9.995130324748341399e-01	2.401119149544438613e+01	5.000000000000000000e+00
9.995783034965713965e-01	2.355670048087440449e+01	4.000000000000000000e+00
9.996348258727452141e-01	2.307438022895499330e+01	4.000000000000000000e+00
9.996837722339831922e-01	2.256334028497771982e+01	4.000000000000000000e+00
9.997261580365736089e-01	2.202260227942108628e+01	4.000000000000000000e+00
9.997628626294338128e-01	2.145098873534824335e+01	3.000000000000000000e+00
9.997946474973542497e-01	2.084734812691670669e+01	3.000000000000000000e+00
9.998221720589961503e-01	2.021028088146741908e+01	3.000000000000000000e+00
9.998460073473940390e-01	1.953855661235675711e+01	3.000000000000000000e+00
9.998666478567836968e-01	1.883093744784881451e+01	3.000000000000000000e+00
9.998845218015310898e-01	1.808647593060395309e+01	2.000000000000000000e+00
9.999000000000000110e-01	1.730441743434189661e+01	2.000000000000000000e+00
