#lambda	number of discriminable inputs	dynamic_range
0.000000000000000000e+00	1.183874163779593580e+01	6.000000000000000000e+00
1.340356766399346533e-01	1.266302634029674223e+01	7.000000000000000000e+00
2.501057906675441256e-01	1.341262225066356351e+01	8.000000000000000000e+00
3.506183684237886844e-01	1.412474077196234923e+01	9.000000000000000000e+00
4.376586748096509272e-01	1.484047289944541781e+01	1.100000000000000000e+01
5.130324748341368313e-01	1.556175937880781568e+01	1.200000000000000000e+01
5.783034965714177744e-01	1.627231745050632483e+01	1.300000000000000000e+01
6.348258727451623340e-01	1.696231482546926372e+01	1.400000000000000000e+01
6.837722339831620033e-01	1.763082182022945688e+01	1.600000000000000000e+01
7.261580365735638143e-01	1.828092893577171552e+01	1.700000000000000000e+01
7.628626294338345382e-01	1.891547588633419963e+01	1.900000000000000000e+01
7.946474973542854148e-01	1.953550381601523966e+01	2.000000000000000000e+01
8.221720589961076797e-01	2.014040475687305332e+01	2.100000000000000000e+01
8.460073473940508126e-01	2.072860432809038400e+01	2.300000000000000000e+01
8.666478567836676250e-01	2.129854160360314808e+01	2.400000000000000000e+01
8.845218015310541970e-01	2.184891515437619347e+01	2.500000000000000000e+01
9.000000000000000222e-01	2.237922198114733874e+01	2.600000000000000000e+01
9.134035676639934431e-01	2.288945480217626738e+01	2.700000000000000000e+01
9.250105790667544348e-01	2.338023575474795734e+01	2.800000000000000000e+01
9.350618368423788684e-01	2.385249151372981657e+01	2.900000000000000000e+01
9.437658674809651371e-01	2.430729619540109354e+01	3.000000000000000000e+01
9.513032474834136609e-01	2.474561508391268561e+01	3.100000000000000000e+01
9.578303496571417552e-01	2.516833850356232460e+01	3.200000000000000000e+01
9.634825872745161890e-01	2.557607061666162451e+01	3.200000000000000000e+01
9.683772233983162225e-01	2.596923494559262835e+01	3.300000000000000000e+01
9.726158036573563370e-01	2.634815643137109831e+01	3.400000000000000000e+01
9.762862629433834982e-01	2.671288286772613318e+01	3.400000000000000000e+01
9.794647497354285193e-01	2.706339498125285559e+01	3.400000000000000000e+01
9.822172058996108124e-01	2.739949581274457202e+01	3.500000000000000000e+01
9.846007347394051257e-01	2.772079802287123584e+01	3.500000000000000000e+01
9.866647856783667958e-01	2.802678419947976707e+01	3.500000000000000000e+01
9.884521801531054308e-01	2.831672368853880428e+01	3.500000000000000000e+01
9.899999999999999911e-01	2.858980932798870001e+01	3.500000000000000000e+01
9.913403567663993110e-01	2.884510686833119308e+01	3.500000000000000000e+01
9.925010579066754213e-01	2.908160237809285320e+01	3.500000000000000000e+01
9.935061836842379313e-01	2.929799696517025609e+01	3.400000000000000000e+01
9.943765867480964804e-01	2.949283278293311739e+01	3.400000000000000000e+01
9.951303247483413994e-01	2.966467347924183073e+01	3.300000000000000000e+01
9.957830349657141866e-01	2.981166164465667734e+01	3.200000000000000000e+01
9.963482587274515856e-01	2.993219242239976552e+01	3.100000000000000000e+01
9.968377223398315889e-01	3.002432322752704152e+01	3.000000000000000000e+01
9.972615803657356448e-01	3.008652970801428594e+01	2.900000000000000000e+01
9.976286262943383498e-01	3.011745496847668235e+01	2.700000000000000000e+01
9.979464749735428297e-01	3.011635683819250175e+01	2.600000000000000000e+01
9.982217205899610590e-01	3.008286542466521496e+01	2.400000000000000000e+01
9.984600734739405015e-01	3.001727336339143193e+01	2.300000000000000000e+01
9.986664785678366352e-01	2.992023671901559823e+01	2.100000000000000000e+01
9.988452180153105653e-01	2.979276618402487742e+01	2.000000000000000000e+01
9.989999999999999991e-01	2.963603984115659173e+01	1.800000000000000000e+01
9.991340356766399422e-01	2.945124687667692598e+01	1.700000000000000000e+01
9.992501057906675310e-01	2.923949054407166415e+01	1.600000000000000000e+01
9.993506183684237598e-01	2.900157010167703930e+01	1.500000000000000000e+01
9.994376586748096036e-01	2.873817078080623943e+01	1.300000000000000000e+01
9.995130324748341399e-01	2.844958135626525220e+01	1.200000000000000000e+01
9.995783034965713965e-01	2.813601328507622412e+01	1.100000000000000000e+01
9.996348258727452141e-01	2.779724124775098204e+01	1.100000000000000000e+01
9.996837722339831922e-01	2.743318436446105579e+01	1.000000000000000000e+01
9.997261580365736089e-01	2.704348739887511144e+01	9.000000000000000000e+00
9.997628626294338128e-01	2.662789355362934884e+01	8.000000000000000000e+00
9.997946474973542497e-01	2.618635019926148289e+01	8.000000000000000000e+00
9.998221720589961503e-01	2.571904687184423466e+01	7.000000000000000000e+00
9.998460073473940390e-01	2.522627230489507610e+01	6.000000000000000000e+00
9.998666478567836968e-01	2.470883820075212611e+01	6.000000000000000000e+00
9.998845218015310898e-01	2.416726522701715041e+01	5.000000000000000000e+00
9.999000000000000110e-01	2.360205932501147075e+01	5.000000000000000000e+00
